profile,split,kind,source,metric,count,min,p10,p25,median,p75,p90,max,mean
texture_noise_prominence_guard,train-validation,false_positive,predicted,elongation,26767,1.0,1.0,1.166667,1.375,1.75,2.285714,34.0,1.600008
texture_noise_prominence_guard,train-validation,false_positive,predicted,fillRatio,26767,0.020513,0.074074,0.1,0.142857,0.2,0.266667,0.520833,0.158465
texture_noise_prominence_guard,train-validation,false_positive,predicted,pixelArea,26767,8.0,11.0,14.0,18.0,26.0,38.0,645.0,22.983524
texture_noise_prominence_guard,train-validation,false_positive,predicted,ringProminence,26767,10.071429,21.176471,24.363636,28.586207,33.9375,40.0,169.478261,30.033904
texture_noise_prominence_guard,train-validation,true_positive,predicted,area,326,4.0,4.5,7.125,16.25,72.375,283.0,2719.0,96.707055
texture_noise_prominence_guard,train-validation,true_positive,predicted,circularity,326,0.012394,0.037237,0.059986,0.103471,0.1763,0.302445,0.673765,0.139841
texture_noise_prominence_guard,train-validation,true_positive,predicted,componentMean,326,18.083333,20.677941,22.629452,25.066729,28.593235,32.680819,56.866667,26.115993
texture_noise_prominence_guard,train-validation,true_positive,predicted,componentPeak,326,22.0,31.0,38.0,50.0,78.0,136.0,188.0,64.822086
texture_noise_prominence_guard,train-validation,true_positive,predicted,elongation,326,1.0,1.036376,1.166667,1.372685,1.666667,2.178571,4.52,1.519002
texture_noise_prominence_guard,train-validation,true_positive,predicted,fillRatio,326,0.045455,0.096372,0.133333,0.189059,0.26756,0.370715,0.622768,0.210928
texture_noise_prominence_guard,train-validation,true_positive,predicted,pixelArea,326,9.0,14.0,20.0,37.0,135.5,374.0,3037.0,135.131902
texture_noise_prominence_guard,train-validation,true_positive,predicted,ringProminence,326,12.882353,23.633581,30.971519,42.942857,71.103014,127.163095,178.468966,57.1882
texture_noise_shape_response_area6,train-validation,false_negative,ground_truth,area,31,0.0,5.5,17.5,64.0,127.75,263.5,735.5,109.403226
texture_noise_shape_response_area6,train-validation,false_negative,ground_truth,circularity,31,0.0,0.105218,0.254462,0.50759,0.622251,0.71854,0.81104,0.454721
texture_noise_shape_response_area6,train-validation,false_negative,ground_truth,componentMean,31,7.0,11.737864,13.184905,17.075472,26.853938,45.333333,54.0,22.273912
texture_noise_shape_response_area6,train-validation,false_negative,ground_truth,componentPeak,31,7.0,43.0,49.0,58.0,89.0,106.0,116.0,66.0
texture_noise_shape_response_area6,train-validation,false_negative,ground_truth,elongation,31,1.0,1.0,1.125,1.625,2.0,2.5,4.75,1.731685
texture_noise_shape_response_area6,train-validation,false_negative,ground_truth,fillRatio,31,0.0,0.08608,0.281908,0.375,0.518305,0.600592,0.666667,0.373169
texture_noise_shape_response_area6,train-validation,false_negative,ground_truth,pixelArea,31,1.0,11.0,28.0,81.0,179.5,302.0,823.0,134.806452
texture_noise_shape_response_area6,train-validation,false_negative,ground_truth,ringProminence,31,-4.5,32.191781,36.567029,47.46281,72.213816,85.428571,98.666667,52.24179
texture_noise_shape_response_area6,train-validation,false_positive,predicted,area,1766,6.0,6.5,8.5,13.5,34.5,49.0,476.0,23.320215
texture_noise_shape_response_area6,train-validation,false_positive,predicted,circularity,1766,0.006613,0.027295,0.04474,0.076139,0.126936,0.196612,0.555856,0.09711
texture_noise_shape_response_area6,train-validation,false_positive,predicted,componentMean,1766,17.326087,21.063455,22.302649,23.666667,25.203846,26.787594,39.15,23.881442
texture_noise_shape_response_area6,train-validation,false_positive,predicted,componentPeak,1766,24.0,32.0,35.0,39.0,45.0,53.0,173.0,41.381653
texture_noise_shape_response_area6,train-validation,false_positive,predicted,elongation,1766,1.0,1.375,2.5,3.0,4.0,5.666667,34.0,3.434342
texture_noise_shape_response_area6,train-validation,false_positive,predicted,fillRatio,1766,0.03697,0.09295,0.123031,0.166667,0.225,0.279412,0.520833,0.179375
